file_a,file_b,label_a,label_b,co_changes,changes_a,changes_b
freeplane\src\main\java\org\freeplane\features\ui\ViewController.java,freeplane\src\main\java\org\freeplane\main\application\ApplicationViewController.java,ViewController,ApplicationViewController,12,24,50
freeplane\src\main\java\org\freeplane\features\commandsearch\CommandSearchDialog.java,freeplane\src\main\java\org\freeplane\features\commandsearch\MenuItem.java,CommandSearchDialog,MenuItem,12,42,20
freeplane\src\main\java\org\freeplane\features\text\mindmapmode\MTextController.java,freeplane\src\main\java\org\freeplane\view\swing\map\mindmapmode\EditNodeTextField.java,MTextController,EditNodeTextField,12,89,70
freeplane\src\main\java\org\freeplane\features\commandsearch\CommandSearchDialog.java,freeplane\src\main\java\org\freeplane\features\commandsearch\IconItem.java,CommandSearchDialog,IconItem,12,42,18
freeplane\src\main\java\org\freeplane\features\styles\MapStyle.java,freeplane\src\main\java\org\freeplane\features\styles\MapStyleModel.java,MapStyle,MapStyleModel,12,83,49
freeplane\src\main\java\org\freeplane\features\note\mindmapmode\NoteManager.java,freeplane\src\main\java\org\freeplane\features\note\mindmapmode\NotePanel.java,NoteManager,NotePanel,12,36,34
freeplane\src\main\java\org\freeplane\main\codeexplorermode\ClassesNodeModel.java,freeplane\src\main\java\org\freeplane\main\codeexplorermode\CodeNodeModel.java,ClassesNodeModel,CodeNodeModel,12,14,17
freeplane\src\main\java\org\freeplane\main\codeexplorermode\ClassesNodeModel.java,freeplane\src\main\java\org\freeplane\main\codeexplorermode\PackageNodeModel.java,ClassesNodeModel,PackageNodeModel,12,14,14
freeplane\src\main\java\org\freeplane\main\codeexplorermode\CodeNodeModel.java,freeplane\src\main\java\org\freeplane\main\codeexplorermode\PackageNodeModel.java,CodeNodeModel,PackageNodeModel,12,17,14
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\configurator\CodeProjectController.java,freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeMapController.java,CodeProjectController,CodeMapController,12,34,50
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeMap.java,freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\ProjectRootNode.java,CodeMap,ProjectRootNode,12,24,31
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\PackageNode.java,freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\ProjectRootNode.java,PackageNode,ProjectRootNode,12,28,31
freeplane\src\main\java\org\freeplane\features\icon\TagCategories.java,freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\MIconController.java,TagCategories,MIconController,12,74,90
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BreadcrumbPanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlineGeometry.java,BreadcrumbPanel,OutlineGeometry,12,57,21
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BlockPanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\NodePositioning.java,BlockPanel,NodePositioning,12,37,26
freeplane\src\main\java\org\freeplane\view\swing\map\outline\MapTreeNode.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,MapTreeNode,ScrollableTreePanel,12,25,135
freeplane\src\main\java\org\freeplane\features\styles\mindmapmode\styleeditorpanel\BorderDashAndDashMatchesEdgeControlGroup.java,freeplane\src\main\java\org\freeplane\features\styles\mindmapmode\styleeditorpanel\BorderWidthAndBorderWidthMatchesEdgeControlGroup.java,BorderDashAndDashMatchesEdgeControlGroup,BorderWidthAndBorderWidthMatchesEdgeControlGroup,11,12,13
freeplane\src\main\java\org\freeplane\features\styles\mindmapmode\styleeditorpanel\MaxNodeWidthControlGroup.java,freeplane\src\main\java\org\freeplane\features\styles\mindmapmode\styleeditorpanel\MinNodeWidthControlGroup.java,MaxNodeWidthControlGroup,MinNodeWidthControlGroup,11,11,11
freeplane\src\main\java\org\freeplane\features\ui\FrameController.java,freeplane\src\main\java\org\freeplane\main\application\ApplicationViewController.java,FrameController,ApplicationViewController,11,101,50
freeplane\src\main\java\org\freeplane\features\map\mindmapmode\MMapController.java,freeplane\src\main\java\org\freeplane\view\swing\ui\mindmapmode\MNodeDropListener.java,MMapController,MNodeDropListener,11,92,53
freeplane\src\main\java\org\freeplane\features\text\TextController.java,freeplane\src\main\java\org\freeplane\features\text\mindmapmode\MTextController.java,TextController,MTextController,11,51,89
freeplane\src\main\java\org\freeplane\main\headlessmode\HeadlessMapViewController.java,freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,HeadlessMapViewController,MapView,11,29,315
freeplane\src\main\java\org\freeplane\core\resources\ResourceController.java,freeplane\src\main\java\org\freeplane\main\application\ApplicationResourceController.java,ResourceController,ApplicationResourceController,11,42,23
freeplane\src\main\java\org\freeplane\features\nodestyle\NodeStyleModel.java,freeplane\src\main\java\org\freeplane\features\nodestyle\mindmapmode\MNodeStyleController.java,NodeStyleModel,MNodeStyleController,11,12,26
freeplane\src\main\java\org\freeplane\features\map\MapModel.java,freeplane\src\main\java\org\freeplane\features\map\mindmapmode\MMapController.java,MapModel,MMapController,11,30,92
freeplane\src\main\java\org\freeplane\features\link\LinkController.java,freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,LinkController,MainView,11,62,135
freeplane\src\main\java\org\freeplane\features\map\mindmapmode\MMapController.java,freeplane\src\main\java\org\freeplane\features\url\mindmapmode\MFileManager.java,MMapController,MFileManager,11,92,76
freeplane\src\main\java\org\freeplane\features\url\UrlManager.java,freeplane\src\main\java\org\freeplane\features\url\mindmapmode\MFileManager.java,UrlManager,MFileManager,11,37,76
freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,freeplane\src\main\java\org\freeplane\view\swing\map\attribute\AttributeTableCellRenderer.java,MainView,AttributeTableCellRenderer,11,135,22
freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,freeplane\src\main\java\org\freeplane\view\swing\ui\mindmapmode\MMapMouseListener.java,MapView,MMapMouseListener,11,315,21
freeplane\src\main\java\org\freeplane\features\map\mindmapmode\clipboard\MMapClipboardController.java,freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\proxy\NodeProxy.java,MMapClipboardController,NodeProxy,11,59,69
freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,freeplane\src\main\java\org\freeplane\view\swing\map\MapViewScrollPane.java,MapView,MapViewScrollPane,11,315,38
freeplane\src\main\java\org\freeplane\features\text\mindmapmode\MTextController.java,freeplane\src\main\java\org\freeplane\view\swing\map\mindmapmode\MMapViewController.java,MTextController,MMapViewController,11,89,25
freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,freeplane\src\main\java\org\freeplane\view\swing\ui\mindmapmode\MNodeDropListener.java,NodeView,MNodeDropListener,11,241,53
freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\proxy\NodeProxy.java,NodeView,NodeProxy,11,241,69
freeplane\src\main\java\org\freeplane\features\note\mindmapmode\MNoteController.java,freeplane\src\main\java\org\freeplane\features\text\mindmapmode\MTextController.java,MNoteController,MTextController,11,41,89
freeplane\src\main\java\org\freeplane\features\styles\MapStyle.java,freeplane\src\main\java\org\freeplane\features\url\mindmapmode\MFileManager.java,MapStyle,MFileManager,11,83,76
freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,freeplane\src\main\java\org\freeplane\view\swing\map\edge\HorizontalEdgeView.java,NodeView,HorizontalEdgeView,11,241,22
freeplane\src\main\java\org\freeplane\core\resources\components\ButtonPanelProperty.java,freeplane\src\main\java\org\freeplane\features\styles\mindmapmode\styleeditorpanel\ChildNodesLayoutControlGroup.java,ButtonPanelProperty,ChildNodesLayoutControlGroup,11,20,19
freeplane\src\main\java\org\freeplane\main\codeexplorermode\ClassNodeModel.java,freeplane\src\main\java\org\freeplane\main\codeexplorermode\ClassesNodeModel.java,ClassNodeModel,ClassesNodeModel,11,14,14
