file_a,file_b,label_a,label_b,co_changes,changes_a,changes_b
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\features\mindmapmode\MModeController.java,ViewController,MModeController,31,109,52
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\features\mindmapmode\file\RevertAction.java,ViewController,RevertAction,31,109,45
freeplane\src\org\freeplane\core\modecontroller\MapController.java,freeplane\src\org\freeplane\features\mindmapmode\file\MFileManager.java,MapController,MFileManager,31,69,100
freeplane\src\org\freeplane\core\ui\MenuBuilder.java,freeplane\src\org\freeplane\features\mindmapmode\file\MFileManager.java,MenuBuilder,MFileManager,31,116,100
freeplane\src\org\freeplane\features\common\link\LinkController.java,freeplane\src\org\freeplane\features\mindmapmode\file\MFileManager.java,LinkController,MFileManager,31,80,100
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\main\application\FreeplaneStarter.java,ViewController,FreeplaneStarter,31,109,135
freeplane\src\org\freeplane\main\application\FreeplaneStarter.java,freeplane\src\org\freeplane\main\browsemode\BModeControllerFactory.java,FreeplaneStarter,BModeControllerFactory,31,135,70
freeplane\src\org\freeplane\main\application\FreeplaneStarter.java,freeplane\src\org\freeplane\main\mindmapmode\MModeControllerFactory.java,FreeplaneStarter,MModeControllerFactory,31,135,159
freeplane\src\org\freeplane\core\ui\MenuBuilder.java,freeplane\src\org\freeplane\main\application\FreeplaneStarter.java,MenuBuilder,FreeplaneStarter,31,116,135
freeplane\src\org\freeplane\core\filter\FilterController.java,freeplane\src\org\freeplane\view\swing\map\MapView.java,FilterController,MapView,30,61,279
freeplane\src\org\freeplane\view\swing\map\BubbleMainView.java,freeplane\src\org\freeplane\view\swing\map\NodeView.java,BubbleMainView,NodeView,30,56,262
freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,freeplane\src\org\freeplane\features\mindmapmode\file\ImportLinkedBranchWithoutRootAction.java,ExportBranchAction,ImportLinkedBranchWithoutRootAction,30,53,37
freeplane\src\org\freeplane\features\mindmapmode\file\ImportLinkedBranchAction.java,freeplane\src\org\freeplane\features\mindmapmode\file\RevertAction.java,ImportLinkedBranchAction,RevertAction,30,36,45
freeplane\src\org\freeplane\features\mindmapmode\note\MNoteController.java,freeplane\src\org\freeplane\features\mindmapmode\text\EditNodeWYSIWYG.java,MNoteController,EditNodeWYSIWYG,30,79,53
freeplane\src\org\freeplane\features\common\link\LinkController.java,freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,LinkController,ExportBranchAction,30,80,53
freeplane\src\org\freeplane\core\controller\Controller.java,freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,Controller,ExportBranchAction,30,62,53
freeplane\src\org\freeplane\core\controller\Controller.java,freeplane\src\org\freeplane\features\mindmapmode\file\MFileManager.java,Controller,MFileManager,30,62,100
freeplane\src\org\freeplane\core\controller\Controller.java,freeplane\src\org\freeplane\features\mindmapmode\file\RevertAction.java,Controller,RevertAction,30,62,45
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\features\mindmapmode\file\MFileManager.java,ViewController,MFileManager,30,109,100
freeplane\src\org\freeplane\core\ui\MenuBuilder.java,freeplane\src\org\freeplane\features\mindmapmode\addins\export\ExportWithXSLT.java,MenuBuilder,ExportWithXSLT,30,116,55
freeplane\src\org\freeplane\core\ui\MenuBuilder.java,freeplane\src\org\freeplane\features\mindmapmode\file\RevertAction.java,MenuBuilder,RevertAction,30,116,45
freeplane\src\org\freeplane\features\common\link\LinkController.java,freeplane\src\org\freeplane\features\mindmapmode\file\RevertAction.java,LinkController,RevertAction,30,80,45
freeplane\src\org\freeplane\view\swing\map\MapView.java,freeplane\src\org\freeplane\view\swing\map\MapViewController.java,MapView,MapViewController,30,279,62
freeplane\src\org\freeplane\main\application\FreeplaneStarter.java,freeplane\src\org\freeplane\main\application\LastOpenedList.java,FreeplaneStarter,LastOpenedList,30,135,84
freeplane\src\org\freeplane\main\mindmapmode\MModeControllerFactory.java,freeplane\src\org\freeplane\view\swing\ui\UserInputListenerFactory.java,MModeControllerFactory,UserInputListenerFactory,30,159,74
freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlinePane.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,OutlinePane,ScrollableTreePanel,30,39,135
freeplane\src\org\freeplane\core\controller\Controller.java,freeplane\src\org\freeplane\core\resources\ResourceController.java,Controller,ResourceController,29,62,74
freeplane\src\org\freeplane\core\resources\ResourceController.java,freeplane\src\org\freeplane\core\ui\MenuBuilder.java,ResourceController,MenuBuilder,29,74,116
freeplane\src\org\freeplane\core\ui\components\UITools.java,freeplane\src\org\freeplane\view\swing\map\MainView.java,UITools,MainView,29,99,207
freeplane\src\org\freeplane\core\ui\components\UITools.java,freeplane\src\org\freeplane\view\swing\map\MapView.java,UITools,MapView,29,99,279
freeplane\src\org\freeplane\core\ui\components\UITools.java,freeplane\src\org\freeplane\view\swing\map\NodeView.java,UITools,NodeView,29,99,262
freeplane\src\org\freeplane\view\swing\map\BubbleMainView.java,freeplane\src\org\freeplane\view\swing\map\ForkMainView.java,BubbleMainView,ForkMainView,29,56,54
freeplane\src\org\freeplane\view\swing\map\BubbleMainView.java,freeplane\src\org\freeplane\view\swing\map\MapView.java,BubbleMainView,MapView,29,56,279
freeplane\src\org\freeplane\view\swing\map\MapView.java,freeplane\src\org\freeplane\view\swing\map\RootMainView.java,MapView,RootMainView,29,279,63
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\view\swing\map\MainView.java,ViewController,MainView,29,109,207
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\core\resources\ResourceController.java,ViewController,ResourceController,29,109,74
freeplane\src\org\freeplane\features\common\addins\encrypt\EnterPassword.java,freeplane\src\org\freeplane\features\mindmapmode\MMapController.java,EnterPassword,MMapController,29,42,62
freeplane\src\org\freeplane\features\mindmapmode\addins\export\ExportWithXSLT.java,freeplane\src\org\freeplane\features\mindmapmode\file\RevertAction.java,ExportWithXSLT,RevertAction,29,55,45
freeplane\src\org\freeplane\features\mindmapmode\clipboard\CutAction.java,freeplane\src\org\freeplane\features\mindmapmode\file\RevertAction.java,CutAction,RevertAction,29,38,45
freeplane\src\org\freeplane\features\mindmapmode\file\ImportLinkedBranchWithoutRootAction.java,freeplane\src\org\freeplane\features\mindmapmode\file\RevertAction.java,ImportLinkedBranchWithoutRootAction,RevertAction,29,37,45
freeplane\src\org\freeplane\features\mindmapmode\link\MLinkController.java,freeplane\src\org\freeplane\view\swing\map\MapView.java,MLinkController,MapView,29,74,279
freeplane\src\org\freeplane\core\modecontroller\MapController.java,freeplane\src\org\freeplane\features\common\link\LinkController.java,MapController,LinkController,29,69,80
freeplane\src\org\freeplane\core\modecontroller\MapController.java,freeplane\src\org\freeplane\features\mindmapmode\file\RevertAction.java,MapController,RevertAction,29,69,45
freeplane\src\org\freeplane\core\ui\MenuBuilder.java,freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,MenuBuilder,ExportBranchAction,29,116,53
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\view\swing\ui\UserInputListenerFactory.java,ViewController,UserInputListenerFactory,29,109,74
freeplane\src\org\freeplane\view\swing\ui\DefaultNodeMouseMotionListener.java,freeplane\src\org\freeplane\view\swing\ui\mindmapmode\MNodeMotionListener.java,DefaultNodeMouseMotionListener,MNodeMotionListener,29,93,60
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\main\application\ApplicationViewController.java,ViewController,ApplicationViewController,29,109,99
freeplane\src\org\freeplane\main\applet\FreeplaneApplet.java,freeplane\src\org\freeplane\main\mindmapmode\MModeControllerFactory.java,FreeplaneApplet,MModeControllerFactory,29,63,159
